From	To
ANR33_MOUSE	Ankrd33
ANR37_MOUSE	Ankrd37
ANR39_MOUSE	Ankrd39
ANR40_MOUSE	Ankrd40
ANR42_MOUSE	Ankrd42
ANR44_MOUSE	Ankrd44
ANR45_MOUSE	Ankrd45
ANR46_MOUSE	Ankrd46
ANR49_MOUSE	Ankrd49
ANR52_MOUSE	Ankrd52
ANR53_MOUSE	Ankrd53
ANR54_MOUSE	Ankrd54
ANR55_MOUSE	Ankrd55
ANR61_MOUSE	Ankrd61
ANR63_MOUSE	Ankrd63
ANRA2_MOUSE	Ankra2
ANRE_MOUSE	Kap
ANS1A_MOUSE	Anks1a
ANS1B_MOUSE	Anks1b
ANS4B_MOUSE	Anks4b
ANT3_MOUSE	Serpinc1
ANTR1_MOUSE	Antxr1
ANTR2_MOUSE	Antxr2
ANTRL_MOUSE	Antxrl
ANX10_MOUSE	Anxa10
ANX11_MOUSE	Anxa11
ANX13_MOUSE	Anxa13
ANXA1_MOUSE	Anxa1
ANXA2_MOUSE	Anxa2
ANXA3_MOUSE	Anxa3
ANXA4_MOUSE	Anxa4
ANXA5_MOUSE	Anxa5
ANXA6_MOUSE	Anxa6
ANXA7_MOUSE	Anxa7
ANXA8_MOUSE	Anxa8
ANXA9_MOUSE	Anxa9
AOAH_MOUSE	Aoah
AOC1_MOUSE	Aoc1
AOC2_MOUSE	Aoc2
AOC3_MOUSE	Aoc3
AOFA_MOUSE	Maoa
AOFB_MOUSE	Maob
AOXA_MOUSE	Aox1
AOXB_MOUSE	Aox2
AOXC_MOUSE	Aox3
AOXD_MOUSE	Aox4
AP180_MOUSE	Snap91
AP1B1_MOUSE	Ap1b1
AP1G1_MOUSE	Ap1g1
AP1G2_MOUSE	Ap1g2
AP1M1_MOUSE	Ap1m1
AP1M2_MOUSE	Ap1m2
AP1S1_MOUSE	Ap1s1
AP1S2_MOUSE	Ap1s2
AP1S3_MOUSE	Ap1s3
AP2A1_MOUSE	Ap2a1
AP2A2_MOUSE	Ap2a2
AP2A_MOUSE	Tfap2a
AP2B1_MOUSE	Ap2b1
AP2B_MOUSE	Tfap2b
AP2C_MOUSE	Tfap2c
AP2D_MOUSE	Tfap2d
AP2E_MOUSE	Tfap2e
AP2M1_MOUSE	Ap2m1
AP2S1_MOUSE	Ap2s1
AP3B1_MOUSE	Ap3b1
AP3B2_MOUSE	Ap3b2
AP3D1_MOUSE	Ap3d1
AP3M1_MOUSE	Ap3m1
AP3M2_MOUSE	Ap3m2
AP3S1_MOUSE	Ap3s1
AP3S2_MOUSE	Ap3s2
AP4AT_MOUSE	Enthd2
AP4A_MOUSE	Nudt2
AP4B1_MOUSE	Ap4b1
AP4E1_MOUSE	Ap4e1
AP4M1_MOUSE	Ap4m1
AP4S1_MOUSE	Ap4s1
AP5B1_MOUSE	Ap5b1
AP5M1_MOUSE	Ap5m1
AP5S1_MOUSE	Ap5s1
AP5Z1_MOUSE	Ap5z1
APAF_MOUSE	Apaf1
APBA1_MOUSE	Apba1
APBA2_MOUSE	Apba2
