From	To
AGAP6_HUMAN	AGAP6
AGAP7_HUMAN	AGAP7P
AGAP9_HUMAN	AGAP9
AGFG1_HUMAN	AGFG1
AGFG2_HUMAN	AGFG2
AGGF1_HUMAN	AGGF1
AGIT1_HUMAN	AGPAT4-IT1
AGK_HUMAN	AGK
AGM1_HUMAN	PGM3
AGO1_HUMAN	AGO1
AGO2_HUMAN	AGO2
AGO3_HUMAN	AGO3
AGO4_HUMAN	AGO4
AGR2_HUMAN	AGR2
AGR3_HUMAN	AGR3
AGRA1_HUMAN	ADGRA1
AGRA2_HUMAN	ADGRA2
AGRA3_HUMAN	ADGRA3
AGRB2_HUMAN	ADGRB2
AGRB3_HUMAN	ADGRB3
AGRD1_HUMAN	ADGRD1
AGRD2_HUMAN	ADGRD2
AGRE1_HUMAN	ADGRE1
AGRE2_HUMAN	ADGRE2
AGRE3_HUMAN	ADGRE3
AGRE4_HUMAN	ADGRE4P
AGRF1_HUMAN	ADGRF1
AGRF2_HUMAN	ADGRF2
AGRF3_HUMAN	ADGRF3
AGRF4_HUMAN	ADGRF4
AGRF5_HUMAN	ADGRF5
AGRG2_HUMAN	ADGRG2
AGRG3_HUMAN	ADGRG3
AGRG4_HUMAN	ADGRG4
AGRG5_HUMAN	ADGRG5
AGRG7_HUMAN	ADGRG7
AGRIN_HUMAN	AGRN
AGRL1_HUMAN	ADGRL1
AGRL2_HUMAN	ADGRL2
AGRL3_HUMAN	ADGRL3
AGRL4_HUMAN	ADGRL4
AGRP_HUMAN	AGRP
AGT2_HUMAN	AGXT2
AGTR1_HUMAN	AGTR1
AGTR2_HUMAN	AGTR2
AHDC1_HUMAN	AHDC1
AHI1_HUMAN	AHI1
AHNK2_HUMAN	AHNAK2
AHNK_HUMAN	AHNAK
AHRR_HUMAN	AHRR
AHR_HUMAN	AHR
AHSA1_HUMAN	AHSA1
AHSA2_HUMAN	AHSA2
AHSP_HUMAN	AHSP
AICDA_HUMAN	AICDA
AIDA_HUMAN	AIDA
AIF1L_HUMAN	AIF1L
AIF1_HUMAN	AIF1
AIFM1_HUMAN	AIFM1
AIFM2_HUMAN	AIFM2
AIFM3_HUMAN	AIFM3
AIG1_HUMAN	AIG1
AIM1L_HUMAN	AIM1L
AIM1_HUMAN	AIM1
AIM2_HUMAN	AIM2
AIMP1_HUMAN	AIMP1
AIMP2_HUMAN	AIMP2
AINX_HUMAN	INA
AIPL1_HUMAN	AIPL1
AIP_HUMAN	AIP
AIRE_HUMAN	AIRE
AJAP1_HUMAN	AJAP1
AJUBA_HUMAN	AJUBA
AK17A_HUMAN	AKAP17A
AK1A1_HUMAN	AKR1A1
AK1BA_HUMAN	AKR1B10
AK1BF_HUMAN	AKR1B15
AK1C1_HUMAN	AKR1C1
AK1C2_HUMAN	AKR1C2
AK1C3_HUMAN	AKR1C3
AK1C4_HUMAN	AKR1C4
AK1D1_HUMAN	AKR1D1
AKA10_HUMAN	AKAP10
AKA11_HUMAN	AKAP11
AKA12_HUMAN	AKAP12
AKA28_HUMAN	AKAP14
AKA7A_HUMAN	AKAP7
AKA7G_HUMAN	AKAP7
AKAP1_HUMAN	AKAP1
AKAP2_HUMAN	AKAP2
AKAP3_HUMAN	AKAP3
AKAP4_HUMAN	AKAP4
AKAP5_HUMAN	AKAP5
AKAP6_HUMAN	AKAP6
AKAP8_HUMAN	AKAP8
AKAP9_HUMAN	AKAP9
AKCL1_HUMAN	AKR1C8P
AKCL2_HUMAN	AKR1E2
